header_id,itemable_type,itemable_id,next_to,proses_type,operator,mesin,nama_item,left,top
1,proses,581,,standar,"[""2075""]",MS32,pasang hanger loop + variasi,50,5850
1,qc,7,,,"[""2541""]",,qc penggabungan besar,50,5900
1,proses,353,,standar,"[""0094""]",JB11,tempel interlining,50,5950
1,proses,355,,standar,"[""0094""]",JB10,jahit panjang centerback,50,6000
1,proses,357,,standar,"[""0795""]",JB13,soom back,50,6050
1,proses,359,,standar,"[""2927""]",JB07,gosok center back + pasang tape cbu & heming,50,6100
1,proses,361,,standar,"[""3269""]",JB01,jahit tape armhole + stik heming + pasang lingkar kerah,50,6150
1,proses,363,,standar,"[""0094""]",JB10,jahit sudut side vent,50,6200
1,proses,365,,standar,"[""2918""]",JB05,gosok sudut vent,50,6250
1,komponen,53,,standar,,,bahan-lining back,50,6300
1,proses,373,,standar,"[""2918""]",HB08,stik center vent,50,6350
1,qc,1,,,"[""2753""]",,qc back,50,6400
1,proses,367,,standar,"[""0225""]",SH39,jahit lining back,50,6450
1,proses,369,,standar,"[""0225""]",JB05,gosok lining back,50,6500
1,proses,371,,standar,"[""0225""]",SH39,jahit allowance 1 cm,50,6550
1,proses,465,,standar,"[""3015""]",JA01,pasang tape st,50,6600
1,komponen,31,,standar,,,bahan-kain keras,50,6650
1,proses,471,,standar,"[""0252""]",JC17,soom kerah,50,6700
1,komponen,69,,standar,,,bahan-shell kerah,50,6750
1,proses,477,,standar,"[""0051""]",JA09,gabung kerah & kaki kerah,50,6800
1,proses,479,,standar,"[""0542""]",JA07,jahit 2 jarum,50,6850
1,proses,481,,standar,"[""3274""]",JA02,join shell + kain keras,50,6900
1,proses,577,,standar,"[""0252""]",JA03,zig-zag kerah,50,6950
1,proses,485,,standar,"[""3274""]",,jahit siku,50,7000
1,proses,489,,standar,"[""3015""]",JA01,gosok susutan kerah,50,7050
1,proses,491,,standar,"[""0051""]",JA09,jahit bantu kerah,50,7100
1,proses,493,,standar,"[""3015""]",JA01,pasang tape ujung kerah,50,7150
1,proses,495,,standar,"[""0542""]",JA08,gosok lipat kaki kerah,50,7200
1,proses,487,,standar,"[""3015""]",,rimbas kerah,50,7250
1,qc,4,,,"[""2238""]",,qc kerah,50,7300
1,proses,473,,standar,"[""0252""]",JA04,pasang tape yk,50,7350
1,proses,475,,standar,"[""0542""]",,gambar kerah,50,7400
1,proses,467,,standar,"[""0051""]",JA09,gabung kain keras,50,7450
1,proses,469,,standar,"[""3274""]",JA02,jahit kain keras & lining,50,7500
1,proses,497,,standar,"[""3161""]",JE13,pasang interlining lb & lk,50,7550
1,proses,499,,standar,"[""3161""]",,press interlining lb & lk,50,7600
1,proses,501,,standar,"[""0682""]",JH38,press gelombang lengan besar,50,7650
1,proses,503,,standar,"[""0682""]",,gambar lubang variasi lengan,50,7700
1,proses,505,,standar,"[""0682""]",JE15,lubang variasi lengan,50,7750
1,proses,507,,standar,"[""0227""]",JE16,jahit slite + cuff lb & lk,50,7800
1,proses,509,,standar,"[""0227""]",JE13,gosok slite + cuff lb & lk,50,7850
1,proses,511,,standar,"[""3046"",""3062""]",MS31,jahit panjang lengan besar,50,7900
1,proses,513,,standar,"[""1748""]",JE20,gosok buka tulang lengan besar,50,7950
1,proses,515,,standar,"[""1748""]",JE20,press lengan besar,50,8000
1,komponen,54,,standar,,,bahan-lining lengan,50,8050
1,proses,521,,standar,"[""1978""]",JE01,jahit gabung shell & lining,50,8100
1,proses,523,,standar,"[""0236""]",JE03,pasang kancing,50,8150
1,proses,527,,standar,"[""1748""]",JE06,press lengan kecil,50,8200
1,proses,529,,standar,"[""0816""]",JE07,jahit cuff + cekris nat lengan kecil,50,8250
1,proses,531,,standar,"[""2359""]",JE08,jahit bantu lengan,50,8300
1,proses,533,,standar,"[""0236""]",JE09,gosok cuff,50,8350
1,qc,5,,,"[""2238""]",,qc lengan,50,8400
1,proses,517,,standar,"[""2561""]",JE18,jahit lining lengan,50,8450
1,proses,519,,standar,"[""2561""]",JE21,gosok lining lengan,50,8500
1,proses,525,,standar,"[""3062"",""1826""]",MS30,jahit panjang lengan kecil,50,8550
1,proses,641,,standar,"[""2560""]",JG14,gosok armhole,50,8600
1,proses,643,,standar,"[""2560""]",,menyamakan size lengan & body,50,8650
1,proses,645,,standar,"[""2171"",""0800"",""0302""]","SG07,JG16,JG17",pasang lengan,50,8700
1,proses,647,,standar,"[""2312""]",JG18,gosok lingkar armhole,50,8750
1,proses,649,,standar,"[""1198""]",JG19,gosok sleeve top,50,8800
1,proses,651,,standar,"[""1198""]",JE10,jahit bantu armhole bawah,50,8850
1,proses,653,,standar,"[""3000""]",JE11,jahit bantu armhole atas,50,8900
1,proses,655,,standar,"[""2453""]",JE24,jahit bantu armhole shoulder pad dalam,50,8950
1,proses,657,,standar,"[""0069"",""3071""]",JG01,rimbas armhole,50,9000
1,komponen,74,,standar,,,bahan-sleeve had,50,9050
1,proses,659,,standar,"[""2731""]",JG03,pasang sleeve had,50,9100
1,proses,661,,standar,"[""0069""]",,buang benang,50,9150
1,proses,663,,standar,"[""3071"",""1955""]",JG04,jahit bantu lining armhole,50,9200
1,qc,9,,,"[""2865""]",,qc sleeve had,50,9250
1,proses,665,,standar,"[""2661""]",,tandai armhole,50,9300
1,proses,667,,standar,"[""3071"",""1941"",""2432""]","LG06,SG14",jahit armhole bawah,50,9350
1,proses,669,,standar,"[""2065""]",JG07,jahit armhole atas,50,9400
1,proses,671,,standar,"[""2661""]",JG09,jahit tutup lining lengan,50,9450
1,qc,6,,,"[""2121""]",,qc pasang lengan,50,9500
1,proses,401,,standar,"[""0550""]",JC14,pasang kantong kanan kiri,50,9550
1,proses,375,,standar,"[""3269""]",JB01,gabung lining & shell,50,9600
1,komponen,72,,standar,,,bahan-size label,50,9650
1,komponen,52,,standar,,,bahan-lining,50,9700
1,komponen,84,,standar,,,bahan-tape yk,50,9750
